,code,docstring,codeBERT Predictions,NeuralCodeSum Predictions,Code2Seq Predictions,Comments - CodeBERT(Person1),Comments - NeuralCodeSum (Person1),Comments - Code2Seq (Person1),Comments - CodeBERT(Person2),Comments - NeuralCodeSum (Person2),Comments - Code2Seq (Person2),Commens-CodeBERT (Person3) ,Comments - NeuralCodeSum (Person3),Comments - Code2Seq (Person3),CodeBERT (Final Categories),NeuralCodeSum (Final Categories),Code2Seq (Final Categories),Raw_Methods,Ground_Truth
10,"public void testcompareandsetinmultiplethreads() { final atomicreference ai = new atomicreference(one); thread t = new thread(new runnable() { public void run() { while(!ai.compareandset(two, three)) thread.yield(); }}); try { t.start(); asserttrue(ai.compareandset(one, two)); t.join(long_delay_ms); assertfalse(t.isalive()); assertequals(ai.get(), three); } catch(exception e) { unexpectedexception(); } }",compareandset in one thread enables another waiting for value  to succeed,test compare and set in multiple threads,tests the multiple thread functionality of the } and } methods,###CAN'T PARSE AST/SAMPLIGH THRESHOLD###,Missing Non-Critical Information,Incorrect Identifier/Attribute,0,Missing Non-Critical Information,Incorrect Identifier/Attribute,0,,,,Missing Non-Critical Information,Incorrect Identifier/Attribute,0,"public void testCompareAndSetInMultipleThreads() {
  final AtomicReference ai = new AtomicReference(one);
  Thread t = new Thread(new Runnable() {
  public void run() {
  while(!ai.compareAndSet(two, three)) Thread.yield();
  }});
  try {
  t.start();
  assertTrue(ai.compareAndSet(one, two));
  t.join(LONG_DELAY_MS);
  assertFalse(t.isAlive());
  assertEquals(ai.get(), three);
  }
  catch(Exception e) {
  unexpectedException();
  }
  }","/**
  * compareAndSet in one thread enables another waiting for value
  * to succeed
  */"
11,"public void testgetthreadfactory() { threadfactory tf = new simplethreadfactory(); threadpoolexecutor p = new threadpoolexecutor(1,2,long_delay_ms, timeunit.milliseconds, new arrayblockingqueue<runnable>(10), tf, new nooprehandler()); assertsame(tf, p.getthreadfactory()); joinpool(p); }",getthreadfactory returns factory in constructor if not set,tests the functionality of getthreadfactory,tests the } method,###CAN'T PARSE AST/SAMPLIGH THRESHOLD###,Missing Non-Critical Information,Incorrect Identifier/Attribute,0,Missing Non-Critical Information,Incorrect Identifier/Attribute,0,,,,Missing Non-Critical Information,Incorrect Identifier/Attribute,0,"public void testGetThreadFactory() {
  ThreadFactory tf = new SimpleThreadFactory();
  ThreadPoolExecutor p = new ThreadPoolExecutor(1,2,LONG_DELAY_MS, TimeUnit.MILLISECONDS, new ArrayBlockingQueue<Runnable>(10), tf, new NoOpREHandler());
  assertSame(tf, p.getThreadFactory());
  joinPool(p);
  }","/** 
  * getThreadFactory returns factory in constructor if not set
  */"
12,"private void indexbyid() { if (sessionsbyid == null) { sessionsbyid = new hashmap<bytearray, sslsession>(); for (sslsession session : sessions.values()) { sessionsbyid.put(new bytearray(session.getid()), session); } } }",ensures that the id-based index is initialized,index all sessions by their id,method called when the index is changed,returns the session id id,Consistent with Specific Info ,Different Meaning,Repetition,Consistent with Specific Info ,Different Meaning,Repetition,,,,Consistent with Specific Info ,Different Meaning,Repetition,"private void indexById() {
  if (sessionsById == null) {
  sessionsById = new HashMap<ByteArray, SSLSession>();
  for (SSLSession session : sessions.values()) {
  sessionsById.put(new ByteArray(session.getId()), session);
  }
  }
  }","/**
  * Ensures that the ID-based index is initialized.
  */"
13,"public void transferallfields(string fromtable, string totable) { this.mode = mode_transfer_all; this.tableleft = fromtable; this.tableright = totable; start(); }",set up tables from to,transfer all data from one table to another,copies all the columns from the given table to the given table,set the var of the var,Consistent with Specific Info ,Consistent with Specific Info ,Incorrect Identifier/Attribute,Consistent with Specific Info ,Consistent with Specific Info ,Incorrect Identifier/Attribute,,,,Consistent with Specific Info ,Consistent with Specific Info ,Incorrect Identifier/Attribute,"public void transferAllFields(String fromTable, String toTable) {
  this.mode = MODE_TRANSFER_ALL;
  this.tableLeft = fromTable;
  this.tableRight = toTable;
  start();
  }","/**
  * set up tables from to
  * 
  * @param fromTable
  * @param toTable
  */"
14,public string getabsolutepath() { return getlocation().toosstring(); },returns the absolute pathname string of this abstract pathname,gets the absolute path,returns the absolute path of the file,returns the absolute path of the location,Missing Non-Critical Information,Consistent but Missing Specific Info,Consistent but Missing Specific Info,Missing Non-Critical Information,Missing Non-Critical Information,Consistent but Missing Specific Info,,,,Missing Non-Critical Information,Missing Non-Critical Information,Consistent but Missing Specific Info,"public String getAbsolutePath() {
  return getLocation().toOSString();
  }","/**
  * Returns the absolute pathname string of this abstract pathname.
  * 
  * @return the absolute location.
  */"
15,protected void optimize() { optimize(false); },calls the optimization in soft mode: free resources only if needed,performs the optimization,optimizes the current position,the,Missing Critical Information,Missing Critical Information,Incomplete Sentence,Missing Critical Information,Missing Critical Information,Incomplete Sentence,,,,Missing Critical Information,Missing Critical Information,Incomplete Sentence,"protected void optimize() {
optimize(false);
}","/**
* Calls the optimization in soft mode: free resources only if needed.
*/"
16,public boolean getchanged() { return changed; },checks if any changes have been made to the document since last save,returns the changed,returns the state of the change,returns whether the data has been changed,Consistent but Missing Specific Info,Consistent with Specific Info ,Consistent with Specific Info ,Consistent but Missing Specific Info,Consistent with Specific Info ,Consistent with Specific Info ,,,,Consistent but Missing Specific Info,Consistent with Specific Info ,Consistent with Specific Info ,"public boolean getChanged() {
  return changed;
  }","/**
  * checks if any changes have been made to the document since last save
  */"
17,"public void testbytearraytostring() throws exception { string source=""abcdefghijklmnopqrstuvwxyz\u1234\n""; string result = utilities.bytearraytostring(source.getbytes(""utf-8"")); assertequals("" 61 62 63 64 65 66 67 68 69 6a 6b 6c 6d 6e 6f 70 abcdefghijklmnop""+newline+ "" 71 72 73 74 75 76 77 78 79 7a e1 88 b4 0a qrstuvwxyz....""+newline+newline, result); }","test of bytearraytostring method, of class orgoclcossrwutilities",test bytearraytostring,tests the tostring method,###CAN'T PARSE AST/SAMPLIGH THRESHOLD###,Missing Critical Information,Missing Critical Information,0,Focusing Only on Method Name ,Missing Critical Information,0,,,,Missing Critical Information,Missing Critical Information,0,"public void testByteArrayToString() throws Exception {
  String source=""abcdefghijklmnopqrstuvwxyz\u1234\n"";
//  System.out.println(""testByteArrayToString:\n""+
//  Utilities.byteArrayToString(source.getBytes(""UTF-8"")));
  String result = Utilities.byteArrayToString(source.getBytes(""UTF-8""));
  assertEquals("" 61 62 63 64 65 66 67 68 69 6a 6b 6c 6d 6e 6f 70  abcdefghijklmnop""+newLine+
  "" 71 72 73 74 75 76 77 78 79 7a e1 88 b4 0a qrstuvwxyz....""+newLine+newLine, result);
  }","/**
  * Test of byteArrayToString method, of class ORG.oclc.os.SRW.Utilities.
  */"
18,public void removelaststmt() { final listiterator iter = stmts.listiterator(stmts.size()); while (iter.hasprevious()) { final stmt s = (stmt) iter.previous(); if (s instanceof labelstmt) { continue; } iter.remove(); return; } },removes the last non-label statement from the statement list,removes the last statement,removes all sprites of this construction,###CAN'T PARSE AST/SAMPLIGH THRESHOLD###,Missing Non-Critical Information,Algorithmically Incorrect,0,Missing Non-Critical Information,Algorithmically Incorrect,0,,,,Missing Non-Critical Information,Algorithmically Incorrect,0,"public void removeLastStmt() {
final ListIterator iter = stmts.listIterator(stmts.size());

while (iter.hasPrevious()) {
final Stmt s = (Stmt) iter.previous();

if (s instanceof LabelStmt) {
continue;
}

iter.remove();
return;
}
}","/**
* Removes the last non-Label statement from the statement list.
*/"
19,public void setconfirmbuttontooltiptext(string text){ confirmbutton.settooltiptext(text); },change the confirm button tooltip text (hook for i18n),sets the tooltip text for the confirm button,sets the text of the confirm button,sets the var to be shown on the button,Consistent with Specific Info ,Consistent with Specific Info ,Incorrect Identifier/Attribute,Consistent with Specific Info ,Missing Non-Critical Information,Incorrect Identifier/Attribute,,,,Consistent with Specific Info ,Missing Non-Critical Information,Incorrect Identifier/Attribute,"public void setConfirmButtonTooltipText(String text){
  confirmButton.setToolTipText(text);
  }",/** Change the confirm button tooltip text (hook for i18n)*/
20,public void setprojectviewcontroller(projectviewcontroller controller){ this.projectviewcontroller = controller; },if attaching it to the projectdetailview,set the project view controller,set the controller for this controller,sets the project view,Focusing Only on Method Name ,Repetition,Missing Identifier,Focusing Only on Method Name ,Repetition,Missing Identifier,,,,Focusing Only on Method Name ,Repetition,Missing Identifier,"public void setProjectViewController(ProjectViewController controller){
this.projectViewController = controller;
}","/**
* If attaching it to the projectDetailView
* @param controller
*/"
21,"public void testgetsetcontextprinting() { ttcclayout layout = new ttcclayout(); assertequals(true, layout.getcontextprinting()); layout.setcontextprinting(false); assertequals(false, layout.getcontextprinting()); layout.setcontextprinting(true); assertequals(true, layout.getcontextprinting()); }",tests getcontextprinting and setcontextprinting,some checks for the getcontextprinting() and setcontextprinting() methods,tests the functionality of the setter and getter for the context,###CAN'T PARSE AST/SAMPLIGH THRESHOLD###,Consistent with Specific Info ,Improves upon Semantic Meaning ,0,Consistent with Specific Info ,Improves upon Semantic Meaning ,0,,,,Consistent with Specific Info ,Improves upon Semantic Meaning ,0,"public void testGetSetContextPrinting() {
  TTCCLayout layout = new TTCCLayout();
  assertEquals(true, layout.getContextPrinting());
  layout.setContextPrinting(false);
  assertEquals(false, layout.getContextPrinting());
  layout.setContextPrinting(true);
  assertEquals(true, layout.getContextPrinting());
  }","/**
  * Tests getContextPrinting and setContextPrinting.
  */"
22,"public mtcomponent getcreatedsvgcomponents(svgdocument svgdoc){ arraylist<mtcomponent> components = new arraylist<mtcomponent>(); opacitystack.push(1.0f); traversesvgdoc(svgdoc, components); opacitystack.pop(); mtcomponent[] comps = (mtcomponent[])components.toarray(new mtcomponent[components.size()]); return comps[0]; }",creates and returns components of the provided svg document for displaying,get created svg components,gets the opacity,###CAN'T PARSE AST/SAMPLIGH THRESHOLD###,Missing Non-Critical Information,Missing Critical Information,0,Missing Non-Critical Information,Missing Critical Information,0,,,,Missing Non-Critical Information,Missing Critical Information,0,"public MTComponent getCreatedSvgComponents(SVGDocument svgDoc){
ArrayList<MTComponent> components = new ArrayList<MTComponent>();
opacityStack.push(1.0f);
traverseSVGDoc(svgDoc, components);
opacityStack.pop();

MTComponent[] comps = (MTComponent[])components.toArray(new MTComponent[components.size()]);
//Only returning the 1st component, since this should be the top-level <svg> element and only 1!?
return comps[0];
}","/**
* Creates and returns components of the provided svg document for displaying.
* 
* @param svgDoc the svg doc
* 
* @return the created svg components
*/"
23,public cursor getinitialcursor() { return cursor.getpredefinedcursor(cursor.crosshair_cursor); },by default all creation modes use crosshair_cursor,returns the initial cursor,returns the cursor to use when the mouse is over the screen,returns the cursor used for cursor,Missing Critical Information,Missing Critical Information,Missing Critical Information,Missing Critical Information,Unnecessary Incorrect Information,Repetition,,,,Missing Critical Information,Missing Critical Information,Missing Critical Information,"public Cursor getInitialCursor() {
  return Cursor.getPredefinedCursor(Cursor.CROSSHAIR_CURSOR);
  }",/** By default all creation modes use CROSSHAIR_CURSOR. */
24,"public void setSchema(String s) throws SQLException { executeUpdate(""SET search_path TO ""+s+"", public""); schema=s; description=description.substring(0,description.lastIndexOf(' '))+"" ""+schema; }",sets the default schema,sets the schema attribute of the search_pathtable object,sets the schema attribute of the simplepooledconnection object,###CAN'T PARSE AST/SAMPLIGH THRESHOLD###,Incorrect Identifier/Attribute,Incorrect Identifier/Attribute,0,Incorrect Identifier/Attribute,Incorrect Identifier/Attribute,0,,,,Incorrect Identifier/Attribute,Incorrect Identifier/Attribute,0,"public void setSchema(String s) throws SQLException {
  executeUpdate(""SET search_path TO ""+s+"", public"");
  schema=s;
  description=description.substring(0,description.lastIndexOf(' '))+"" ""+schema;
  }",/** Sets the default schema*/
25,public boolean getMissingMerge () { return m_missing_merge; },get whether missing values are being distributed or not,returns true if a missing merge flag is set,returns true if missing segments are missing,returns whether the merged entries are missing are missing,Consistent but Missing Specific Info,Consistent but Missing Specific Info,Repetition,Consistent but Missing Specific Info,Consistent but Missing Specific Info,Repetition,,,,Consistent but Missing Specific Info,Consistent but Missing Specific Info,Repetition,"public boolean getMissingMerge () {
  return  m_missing_merge;
  }","/**
  * get whether missing values are being distributed or not
  *
  * @return true if missing values are being distributed.
  */"
26,public double getToleranceParameter() { return m_smoTParameter; },get the value of t used with smo,get the tolerance parameter,returns the parameter of the parameter,returns the parameter value,Consistent but Missing Specific Info,Incorrect Identifier/Attribute,Missing Identifier,Consistent but Missing Specific Info,Repetition,Missing Identifier,,,,Consistent but Missing Specific Info,Incorrect Identifier/Attribute,Missing Identifier,"public double getToleranceParameter() {
  return m_smoTParameter;
  }","/**
  * Get the value of T used with SMO
  *
  * @return the value of T
  */"
27,"public String reportFrequencyTipText() { return ""Set how frequently reports are generated. Default is equal to "" +""the number of generations meaning that a report will be printed for "" +""initial and final generations. Setting the value to 5 will result in "" +""a report being printed every 5 generations.""; }",returns the tip text for this property,generate report frequency text,reports the text to the console,returns a string representation of the current number of,Consistent with Specific Info ,Incorrect Identifier/Attribute,Incomplete Sentence,Consistent with Specific Info ,Incorrect Identifier/Attribute,Missing Critical Information,,,,Consistent with Specific Info ,Incorrect Identifier/Attribute,Missing Critical Information,"public String reportFrequencyTipText() {
  return ""Set how frequently reports are generated. Default is equal to ""
  +""the number of generations meaning that a report will be printed for ""
  +""initial and final generations. Setting the value to 5 will result in ""
  +""a report being printed every 5 generations."";
  }","/**
  * Returns the tip text for this property
  * @return tip text for this property suitable for
  * displaying in the explorer/experimenter gui
  */"
28,"public String thresholdTipText() { return ""Repeat xval if stdev of mean exceeds this value.""; }",returns the tip text for this property,returns the thresholdtiptext,returns the } string for this component,returns the string that is used to display the text of the text,Focusing Only on Method Name ,Incorrect Identifier/Attribute,Incorrect Identifier/Attribute,Missing Non-Critical Information,Incorrect Identifier/Attribute,Incorrect Identifier/Attribute,,,,Focusing Only on Method Name ,Incorrect Identifier/Attribute,Incorrect Identifier/Attribute,"public String thresholdTipText() {
  return ""Repeat xval if stdev of mean exceeds this value."";
  }","/**
  * Returns the tip text for this property
  * @return tip text for this property suitable for
  * displaying in the explorer/experimenter gui
  */"
29,"public String toString() { StringBuffer temp = new StringBuffer(); temp.append(""\n FarthestFirst\n==============\n""); temp.append(""\nCluster centroids:\n""); for (int i = 0; i < m_NumClusters; i++) { temp.append(""\nCluster ""+i+""\n\t""); for (int j = 0; j < m_ClusterCentroids.numAttributes(); j++) { if (m_ClusterCentroids.attribute(j).isNominal()) { temp.append("" ""+m_ClusterCentroids.attribute(j). value((int)m_ClusterCentroids.instance(i).value(j))); } else { temp.append("" ""+m_ClusterCentroids.instance(i).value(j)); } } } temp.append(""\n\n""); return temp.toString(); }",return a string describing this clusterer,returns a string representation of this cluster,print the cluster list,###CAN'T PARSE AST/SAMPLIGH THRESHOLD###,Consistent with Specific Info ,Partial Incorrect Information,0,Consistent with Specific Info ,Partial Incorrect Information,0,,,,Consistent with Specific Info ,Partial Incorrect Information,0,"public String toString() {
  StringBuffer temp = new StringBuffer();

  temp.append(""\n FarthestFirst\n==============\n"");

  temp.append(""\nCluster centroids:\n"");
  for (int i = 0; i < m_NumClusters; i++) {
  temp.append(""\nCluster ""+i+""\n\t"");
  for (int j = 0; j < m_ClusterCentroids.numAttributes(); j++) {
if (m_ClusterCentroids.attribute(j).isNominal()) {
  temp.append("" ""+m_ClusterCentroids.attribute(j).
  value((int)m_ClusterCentroids.instance(i).value(j)));
} else {
  temp.append("" ""+m_ClusterCentroids.instance(i).value(j));
}
  }
  }
  temp.append(""\n\n"");
  return temp.toString();
  }","/**
  * return a string describing this clusterer
  *
  * @return a description of the clusterer as a string
  */"
30,"private void setClassValue(int index, int classVal) throws Exception { if (m_trainingData == null) { throw new Exception(""No training data set (BoundaryPanel)""); } if (classVal < 0 || classVal > m_trainingData.classAttribute().numValues()) { throw new Exception(""Class value out of range (BoundaryPanel)""); } m_rgbClassValues[index] = classVal; }",set a class value for a particular colour (rgb),set the training data value,get class value,sets the class value for the given var,Missing Critical Information,Missing Critical Information,Incorrect Identifier/Attribute,Missing Critical Information,Focusing Only on Method Name ,Incorrect Identifier/Attribute,,,,Missing Critical Information,Missing Critical Information,Incorrect Identifier/Attribute,"private void setClassValue(int index, int classVal) throws Exception {
  if (m_trainingData == null) {
  throw new Exception(""No training data set (BoundaryPanel)"");
  }
  if (classVal < 0 || 
classVal > m_trainingData.classAttribute().numValues()) {
  throw new Exception(""Class value out of range (BoundaryPanel)"");
  }
  m_rgbClassValues[index] = classVal;
  }","/**
  * Set a class value for a particular colour (RGB)
  *
  * @param index the colour - 0 = red, 1 = green, 2 = blue
  * @param classVal the class value index to associate with the colour
  * @exception Exception if an error occurs
  */"
31,public void setAnimated() { m_visualLabel.setIcon(m_animatedIcon); },set the animated version of the icon,sets the animated icon,sets the background image,sets the current var to the current label,Consistent with Specific Info ,Algorithmically Incorrect,Incorrect Identifier/Attribute,Consistent with Specific Info ,Incorrect Identifier/Attribute,Incorrect Identifier/Attribute,,,,Consistent with Specific Info ,Incorrect Identifier/Attribute,Incorrect Identifier/Attribute,"public void setAnimated() {
  m_visualLabel.setIcon(m_animatedIcon);
  }","/**
  * Set the animated version of the icon
  *
  */"
32,public void setdisplayconnectors(boolean dc) { m_displayconnectors = dc; repaint(); },turn onoff the connector points,sets the displayconnectors,sets whether the panel should be displayed,sets the display to display,Consistent but Missing Specific Info,Consistent with Specific Info ,Different Meaning,Consistent but Missing Specific Info,Consistent with Specific Info ,Incorrect Identifier/Attribute,,,,Consistent but Missing Specific Info,Consistent with Specific Info ,Incorrect Identifier/Attribute,"public void setDisplayConnectors(boolean dc) {
  //  m_visualHolder.setDisplayConnectors(dc);
  m_displayConnectors = dc;
  repaint();
  }","/**
  * Turn on/off the connector points
  *
  * @param dc a <code>boolean</code> value
  */"
33,public void addRepaintNotify(Component c) { m_Repainters.addElement(c); },adds a component that will need to be repainted if the user changes the colour of a label,adds a component to be repainted,adds a } to the },###CAN'T PARSE AST/SAMPLIGH THRESHOLD###,Consistent with Specific Info ,Incorrect Identifier/Attribute,0,Consistent with Specific Info ,Incorrect Identifier/Attribute,0,,,,Consistent with Specific Info ,Incorrect Identifier/Attribute,0,"public void addRepaintNotify(Component c) {
  m_Repainters.addElement(c);
  }","/**
  * Adds a component that will need to be repainted if the user
  * changes the colour of a label.
  * @param c the component to be repainted
  */"
34,public void setExperiment(Experiment exp) { m_Exp = exp; m_AddBut.setEnabled(true); m_List.setModel(m_Exp.getDatasets()); if (m_Exp.getDatasets().size() > 0) { m_DeleteBut.setEnabled(true); } },tells the panel to act on a new experiment,sets the experiment,sets the list of cells in the order they were added,sets the var of the,Missing Critical Information,Consistent but Missing Specific Info,Incomplete Sentence,Focusing Only on Method Name ,Consistent but Missing Specific Info,Incomplete Sentence,,,,Missing Critical Information,Consistent but Missing Specific Info,Incomplete Sentence,"public void setExperiment(Experiment exp) {

  m_Exp = exp;
  m_AddBut.setEnabled(true);
  m_List.setModel(m_Exp.getDatasets());
  if (m_Exp.getDatasets().size() > 0) {
  m_DeleteBut.setEnabled(true);
  }
  }","/**
  * Tells the panel to act on a new experiment.
  *
  * @param exp a value of type 'Experiment'
  */"
35,"public void setOptions(String[] options) throws Exception { String classifierString = Utils.getOption('B', options); if (classifierString.length() == 0) { throw new Exception(""A classifier must be specified"" + "" with the -B option.""); } String [] classifierSpec = Utils.splitOptions(classifierString); if (classifierSpec.length == 0) { throw new Exception(""Invalid classifier specification string""); } String classifierName = classifierSpec[0]; classifierSpec[0] = """"; System.out.println(""Classifier name: "" + classifierName + ""\nClassifier parameters: "" + weka.classifiers.sparse.IBkMetric.concatStringArray(classifierSpec)); setClassifier(Classifier.forName(classifierName, classifierSpec)); }",parses a given list of options valid options are: -b classifierstring,sets the options,sets the options for this schema,###CAN'T PARSE AST/SAMPLIGH THRESHOLD###,Missing Critical Information,Missing Critical Information,0,Focusing Only on Method Name ,Missing Critical Information,0,,,,Missing Critical Information,Missing Critical Information,0,"public void setOptions(String[] options) throws Exception {
  String classifierString = Utils.getOption('B', options);
  if (classifierString.length() == 0) {
  throw new Exception(""A classifier must be specified""
  + "" with the -B option."");
  }
  String [] classifierSpec = Utils.splitOptions(classifierString);
  if (classifierSpec.length == 0) {
  throw new Exception(""Invalid classifier specification string"");
  }
  String classifierName = classifierSpec[0];
  classifierSpec[0] = """";
  System.out.println(""Classifier name: "" + classifierName + ""\nClassifier parameters: "" + weka.classifiers.sparse.IBkMetric.concatStringArray(classifierSpec));
  setClassifier(Classifier.forName(classifierName, classifierSpec));
  }","/**
  * Parses a given list of options. Valid options are:<p>
  *
  * -B classifierstring
  */"
