,code,docstring,codeBERT Predictions,NeuralCodeSum Predictions,code2seq Predictions,Raw_Methods,Ground_Truth,Comments - CodeBERT(Person1),Comments - NeuralCodeSum (Person1),Comments - Code2Seq (Person1),Comments - CodeBERT(Person2),Comments - NeuralCodeSum (Person2),Comments - Code2Seq (Person2),Comments - CodeBERT(Person3),Comments - NeuralCodeSum (Person3),Comments - Code2Seq (Person3),CodeBERT (Final Categories),NeuralCodeSum (Final Categories),Code2Seq (Final Categories)
10,public MetaData withKey(String value) { setKey(value); return this; },sets the value of the key property,sets the key,sets the metadata for this property,returns a new object with the given var,"public MetaData withKey(String value) {
  setKey(value);
  return this;
  }","/**
  * Sets the value of the Key property.
  * 
  * @param value
  * @return
  *  this instance
  */",Missing Non-Critical Information,Missing Attribute Specification,Missing Attribute Specification,,,,Missing Non-Critical Information,Missing Critical Information,Missing Identifier,Missing Non-Critical Information,Missing Attribute Specification,Missing Attribute Specification
11,public AvailableParameters withParameter(String... values) { for (String value: values) { getParameter().add(value); } return this; },sets the value of the parameter property,sets the parameters,returns a new instance with the specified values,returns a parameter with the given parameter and the parameter value,"public AvailableParameters withParameter(String... values) {
  for (String value: values) {
  getParameter().add(value);
  }
  return this;
  }","/**
  * Sets the value of the Parameter property.
  * 
  * @param values
  * @return
  *  this instance
  */",Missing Attribute Specification,Missing Attribute Specification,Missing Attribute Specification,,,,Missing Identifier,Missing Identifier,Missing Non-Critical Information,Missing Identifier,Missing Attribute Specification,Missing Attribute Specification
12,public Information withOperationInformation(OperationInformation... values) { for (OperationInformation value: values) { getOperationInformation().add(value); } return this; },sets the value of the operationinformation property,sets the operationinformation,"returns the information if the operation is not supported in this interface, the method returns a new information instance",returns an instance of the information about the information,"public Information withOperationInformation(OperationInformation... values) {
  for (OperationInformation value: values) {
  getOperationInformation().add(value);
  }
  return this;
  }","/**
  * Sets the value of the OperationInformation property.
  * 
  * @param values
  * @return
  *  this instance
  */",Missing Attribute Specification,Partial Incorrect Information,Missing Attribute Specification,,,,Missing Non-Critical Information,Partial Incorrect Information,Repetition,Missing Attribute Specification,Partial Incorrect Information,Repetition
13,public PromotionEligibilityRequirement withQuantity(Integer value) { setQuantity(value); return this; },sets the value of the quantity property,returns a quantity,sets the value of this property any previous animations are stopped,sets the var,"public PromotionEligibilityRequirement withQuantity(Integer value) {
  setQuantity(value);
  return this;
  }","/**
  * Sets the value of the Quantity property.
  * 
  * @param value
  * @return
  *  this instance
  */",Missing task elaboration,Unnecessary Incorrect Information,Missing Attribute Specification,Different Meaning,Different Meaning,Missing Formatting,,,,Different Meaning,Unnecessary Incorrect Information,Missing Attribute Specification
14,public void setSplitType(String splitType) { this.splitType = splitType; },sets the split type of the gateway the split type should only be set if the gateway is an exclusive decision gateway,sets the split type,sets the type of split,sets the var,"public void setSplitType(String splitType) {
  this.splitType = splitType;
  }","/**
   * Sets the split type of the gateway. The split type should only
   * be set if the gateway is an exclusive decision gateway.
   * 
   * @param splitType The new split type of the gateway (""XOR"" or ""XOREVENT"").
   */",Consistent but Missing Specific Info,Consistent but Missing Specific Info,Missing Attribute Specification,Consistent but Missing Specific Info,Consistent but Missing Specific Info,Missing Formatting,,,,Consistent but Missing Specific Info,Consistent but Missing Specific Info,Missing Attribute Specification
15,"private int countListsWithGateway(Map<StartEvent, List<Gateway>> map, Gateway gateway) { int counter = 0; for (Iterator<List<Gateway>> it = map.values().iterator(); it.hasNext();) { List<Gateway> gateways = it.next(); if (gateways.contains(gateway)) { counter++; } } return counter; }",counts the lists contained in the map that contain the given gateway,counts the lists with the given gateway,"counts number of event, with given }",###CAN'T PARSE AST/SAMPLIGH THRESHOLD###,"private int countListsWithGateway(Map<StartEvent, List<Gateway>> map, Gateway gateway) {
  int counter = 0;
  for (Iterator<List<Gateway>> it = map.values().iterator(); it.hasNext();) {
  List<Gateway> gateways = it.next();
  if (gateways.contains(gateway)) {
  counter++;
  }
  }
  return counter;
  }","/**
   * Counts the lists contained in the map that contain the given gateway.
   * 
   * @param map  The map that has lists as values.
   * @param gateway The gateway that may be contained in the lists.
   * 
   * @return The number of lists in the map, the gateway is contained in.
   */",Missing Critical Information,Incorrect Identifier/Attribute,0,Missing Non-Critical Information,Missing Web-related information,0,,,,Missing Critical Information,Missing Web-related information,0
16,public Boolean isIsFragile() { return isFragile; },gets the value of the isfragile property,returns the isfragile,gets the } value for this },returns whether this is a,"public Boolean isIsFragile() {
  return isFragile;
  }","/**
  * Gets the value of the isFragile property.
  * 
  * @return
  *  possible object is
  *  {@link Boolean }
  * 
  */",Missing task elaboration,Incorrect Identifier/Attribute,Incomplete Sentence,Missing task elaboration,Failed to mention identifiers,Partial Incorrect Information,,,,Missing task elaboration,Failed to mention identifiers,Incomplete Sentence
17,public Element getElement(int index) { return elements.get(index); },gets the element with the associated index,returns the element at the given index,gets the element at the specified index,returns the element at the given var,"public Element getElement(int index) {
  return elements.get(index);
  }","/**
   * Gets the element with the associated index.
   * 
   * @param index
   * the position of the element in the sequence
   * @return the element that is at the given position in the sequence
   */",Consistent with Specific Info ,Consistent with Specific Info ,Incorrect Identifier/Attribute,Consistent with Specific Info ,Consistent with Specific Info ,Failed to mention identifiers,,,,Consistent with Specific Info ,Consistent with Specific Info ,Incorrect Identifier/Attribute
18,protected boolean getBoundsVolatile() { return true; },"since this node's bounds are always dependent on its target, it is volatile",gets the bounds volatile attribute,returns true if this node is a bounds of the bounds of the node,returns true if this object is a bounds,"protected boolean getBoundsVolatile() {
  return true;
  }","/**
  * Since this node's bounds are always dependent on its target, it is
  * volatile.
  * 
  * @return true since sticky handle manager's bounds are completely
  *  dependent on its children
  */",Algorithmically Incorrect,Repetition,Algorithmically Incorrect,Consistent but Missing Specific Info,Repetition,Partial Incorrect Information,,,,Consistent but Missing Specific Info,Algorithmically Incorrect,Consistent but Missing Specific Info
19,"public PNode removeChild(final int index) { /* * NOTE: This must be the only super.removeChild call that we make in * our entire implementation, because all PNode.removeChild methods are * implemented in terms of this one. Calling other variants of * super.removeChild will incorrectly invoke our overrides, resulting in * StackOverflowException. */ final PNode node = super.removeChild(index); removeProxyComponent(node); return node; }",removes a node at a specified index,removes a child from this node,remove the child of this node at the specified index,###CAN'T PARSE AST/SAMPLIGH THRESHOLD###,"public PNode removeChild(final int index) {
  /*
  * NOTE: This must be the only super.removeChild call that we make in
  * our entire implementation, because all PNode.removeChild methods are
  * implemented in terms of this one. Calling other variants of
  * super.removeChild will incorrectly invoke our overrides, resulting in
  * StackOverflowException.
  */
  final PNode node = super.removeChild(index);
  removeProxyComponent(node);
  return node;
  }","/**
  * Removes a node at a specified index.
  * 
  * @param index 0 based index of the child to be removed
  */",Missing Attribute Specification,Consistent but Missing Specific Info,0,Missing Non-Critical Information,Unnecessary Incorrect Information,0,,,,Missing Non-Critical Information,Consistent but Missing Specific Info,0
20,private ProxyComponent getComponentForNode(final PNode node) { ProxyComponent nodeComponent = null; final Component[] components = container.getComponents(); if (components != null) { for (int i = 0; i < components.length && nodeComponent == null; i++) { if (components[i] instanceof ProxyComponent) { final ProxyComponent n = (ProxyComponent) components[i]; if (n.getNode() == node) { nodeComponent = n; } } } } return nodeComponent; },finds the component that is serving as the proxy for a specific node returns null if not found,returns the component for the given node,returns the component that has the specified node,###CAN'T PARSE AST/SAMPLIGH THRESHOLD###,"private ProxyComponent getComponentForNode(final PNode node) {
  ProxyComponent nodeComponent = null;
  final Component[] components = container.getComponents();
  if (components != null) {
  for (int i = 0; i < components.length && nodeComponent == null; i++) {
  if (components[i] instanceof ProxyComponent) {
  final ProxyComponent n = (ProxyComponent) components[i];
  if (n.getNode() == node) {
  nodeComponent = n;
  }
  }
  }
  }
  return nodeComponent;
  }","/**
  * Finds the component that is serving as the proxy for a specific node.
  * Returns null if not found.
  */",Missing Attribute Specification,Missing Attribute Specification,0,Missing Non-Critical Information,Consistent but Missing Specific Info,0,,,,Missing Attribute Specification,Consistent but Missing Specific Info,0
21,"public boolean getMethod(OutputStream oStream) throws IOException { return getMethod(oStream, true); }",execute the get method for the given path,description of the method,returns whether the underlying stream implements the } interface,returns true if the var put is a,"public boolean getMethod(OutputStream oStream) throws IOException {
  return getMethod(oStream, true);
  }","/**
  * Execute the GET method for the given path.
  *
  * @param oStream The Output Stream.
  * @return true if the method is succeeded.
  * @exception HttpException
  * @exception IOException
  */",Algorithmically Incorrect,Algorithmically Incorrect,Semantically Unrelated to Code,Focusing Only on Method Name ,Missing Identifier,Algorithmically Incorrect,,,,Focusing Only on Method Name ,Missing Identifier,Semantically Unrelated to Code
22,public String getAdmin() { return admin; },gets the value of the admin property,returns the admin,returns the admin,returns whether this is a,"public String getAdmin() {
  return admin;
  }","/**
  * Gets the value of the admin property.
  * 
  * @return
  *  possible object is
  *  {@link String }
  * 
  */",Missing Attribute Specification,Missing Attribute Specification,Incomplete Sentence,Consistent but Missing Specific Info,Consistent but Missing Specific Info,Incomplete Sentence,,,,Consistent but Missing Specific Info,Consistent but Missing Specific Info,Incomplete Sentence
23,public Reference getLocationRef() { return getResponse() == null ? null : getResponse().getLocationRef(); },returns the reference that the client should follow for redirections or resource creations,the default behavior of this method is to return getlocationreference() on the wrapped response object,returns the location of the connection,returns the location of the request,"public Reference getLocationRef() {
  return getResponse() == null ? null : getResponse().getLocationRef();
  }","/**
  * Returns the reference that the client should follow for redirections or
  * resource creations.
  * 
  * @return The redirection reference.
  * @see Response#getLocationRef()
  */",Consistent with Specific Info ,Incorrect Identifier/Attribute,Consistent but Missing Specific Info,Different Meaning,Missing Non-Critical Information,Missing Non-Critical Information,,,,Consistent with Specific Info ,Incorrect Identifier/Attribute,Missing Non-Critical Information
24,public ItemAttributes withRemovableStorage(String value) { setRemovableStorage(value); return this; },sets the value of the removablestorage property,sets the removed storage,sets the attribute values for this attribute,sets the var to the given var,"public ItemAttributes withRemovableStorage(String value) {
  setRemovableStorage(value);
  return this;
  }","/**
  * Sets the value of the RemovableStorage property.
  * 
  * @param value
  * @return
  *  this instance
  */",Missing Attribute Specification,Missing Attribute Specification,Missing Attribute Specification,Consistent but Missing Specific Info,Failed to mention identifiers,Failed to mention identifiers,,,,Consistent but Missing Specific Info,Missing Attribute Specification,Missing Attribute Specification
25,public ItemAttributes withTotalParallelPorts(BigInteger value) { setTotalParallelPorts(value); return this; },sets the value of the totalparallelports property,sets the total parallel ports,sets the total number of items in the range },returns the with the given var,"public ItemAttributes withTotalParallelPorts(BigInteger value) {
  setTotalParallelPorts(value);
  return this;
  }","/**
  * Sets the value of the TotalParallelPorts property.
  * 
  * @param value
  * @return
  *  this instance
  */",Missing Attribute Specification,Algorithmically Incorrect,Semantically Unrelated to Code,Consistent but Missing Specific Info,Failed to mention identifiers,Failed to mention identifiers,,,,Consistent but Missing Specific Info,Failed to mention identifiers,Failed to mention identifiers
26,public int size() { return bytes.length; },gets the number of bytes,returns the size of the byte array,returns the number of elements in this list,returns the number of bytes in this buffer,"public int size() {
  return bytes.length;
  }","/**
  * Gets the number of bytes.
  */",Consistent with Specific Info ,Algorithmically Incorrect,Consistent with Specific Info ,Unnecessary Incorrect Information,Failed to mention identifiers,Unnecessary Incorrect Information,,,,Consistent with Specific Info ,Failed to mention identifiers,Consistent with Specific Info 
27,public void setMaxOpenFiles(final int maxOpenFiles) { this.maxOpenFiles = maxOpenFiles; },limit the number of file descriptors the library will open concurrently when flushing dirty pages from the cache,sets the max open files,sets the maximum number of open files to open,sets the maximum open files,"public void setMaxOpenFiles(final int maxOpenFiles) {
  this.maxOpenFiles = maxOpenFiles;
  }","/**
  Limit the number of file descriptors the library will open concurrently
  when flushing dirty pages from the cache.
  <p>
  @param maxOpenFiles
  The maximum number of file descriptors that may be concurrently opened
  by the library when flushing dirty pages from the cache.
  **/",Missing task elaboration,Missing task elaboration,Missing task elaboration,Consistent but Missing Specific Info,Repetition,Consistent but Missing Specific Info,,,,Consistent but Missing Specific Info,Repetition,Consistent but Missing Specific Info
28,"protected IQ errorMalformedStanza(IQ iq) { return createError(iq.getPacketID(), iq.getFrom(), getConnection().getUser(), 400, ""Bad Request""); }",send an error indicating that the stanza is malformed,error handling routine,check if the error is an ack packet,returns the error message for the given var,"protected IQ errorMalformedStanza(IQ iq) {
  // FIXME: implement with the right message...
  return createError(iq.getPacketID(), iq.getFrom(), getConnection().getUser(),
  400, ""Bad Request"");
  }","/**
  * Send an error indicating that the stanza is malformed.
  *
  * @param iq
  */",,,,Consistent but Missing Specific Info,Different Meaning,Failed to mention identifiers,Missing Critical Information,Partial Incorrect Information,Missing Identifier,Missing Critical Information,Partial Incorrect Information,Failed to mention identifiers
29,public int first() { fLastRuleStatusIndex = 0; fLastStatusIndexValid = true; if (fText == null) { return BreakIterator.DONE; } fText.first(); return fText.getIndex(); },"sets the current iteration position to the beginning of the text (ie, the characteriterator's starting offset)",sets the index of the first character in the iteration,returns the index of the first character in the iteration,returns the first element in the list,"public int first() {
  fLastRuleStatusIndex = 0;
  fLastStatusIndexValid = true;
  if (fText == null) {
  return BreakIterator.DONE;
  }
  fText.first();
  return fText.getIndex();
  }","/**
  * Sets the current iteration position to the beginning of the text.
  * (i.e., the CharacterIterator's starting offset).
  * @return The offset of the beginning of the text.
  * @stable ICU 2.0
  */",,,,Consistent but Missing Specific Info,Consistent but Missing Specific Info,Missing Critical Information,Partial Incorrect Information,Partial Incorrect Information,Partial Incorrect Information,Consistent but Missing Specific Info,Consistent but Missing Specific Info,Missing Critical Information
30,public UnicodeSet addAll(Collection<?> source) { checkFrozen(); for (Object o : source) { add(o.toString()); } return this; },add the contents of the unicodeset (as strings) into a collection uses standard naming convention,adds all of the elements in the specified collection to this set,adds all of the elements in the given set to this set,adds all the var in the given var to this set,"public UnicodeSet addAll(Collection<?> source) {
  checkFrozen();
  for (Object o : source) {
  add(o.toString());
  }
  return this;
  }","/**
  * Add the contents of the UnicodeSet (as strings) into a collection.
  * Uses standard naming convention.
  * @param source collection to add into
  * @return a reference to this object
  * @stable ICU 4.4
  */",,,,Consistent but Missing Specific Info,Consistent but Missing Specific Info,Failed to mention identifiers,Different Meaning,Algorithmically Incorrect,Missing Identifier,Consistent but Missing Specific Info,Consistent but Missing Specific Info,Failed to mention identifiers
31,public void reset() { text.setToStart(); currentIndex=nextIndex=0; clearBuffer(); },reset the index to the beginning of the text this is equivalent to setindexonly(startindex)),description of the method,resets the text to the beginning of the text,resets the current state to the next set of the next call to the next method and,"public void reset() {
  text.setToStart();
  currentIndex=nextIndex=0;
  clearBuffer();
  }","/**
  * Reset the index to the beginning of the text.
  * This is equivalent to setIndexOnly(startIndex)).
  * @stable ICU 2.8
  */",,,,Focusing Only on Method Name ,Consistent but Missing Specific Info,Different Meaning,Missing Prog. Language Information ,Algorithmically Incorrect,Repetition,Focusing Only on Method Name ,Algorithmically Incorrect,Repetition
32,private int countQuestionMarks(String statement) { int count=0; for (char c: statement.toCharArray()) if (c=='?') count++; return count; },used to initialise the paramaters array to the correct size,counts the number of question marks,counts the number of questions in a specified statement,returns the number of questions in the given var,"private int countQuestionMarks(String statement) {
  int count=0;
  for (char c: statement.toCharArray())
  if (c=='?')
  count++;
  return count;
  }","/**
  * Used to initialise the paramaters array to the correct size.
  */",,,,Improves upon Semantic Meaning ,Missing Non-Critical Information,Failed to mention identifiers,Improves upon Semantic Meaning ,Improves upon Semantic Meaning ,Improves upon Semantic Meaning ,Improves upon Semantic Meaning ,Missing Non-Critical Information,Failed to mention identifiers
33,"public String getPathInfo() { String path = getHttpServletRequest().getPathInfo(); if (path == null) return null; String clean = """"; try { clean = ESAPI.validator().getValidInput(""HTTP path: "" + path, path, ""HTTPPath"", 150, true); } catch (ValidationException e) { } return clean; }",returns the path info from the httpservletrequest after canonicalizing and filtering out any dangerous characters,get the path info,returns the path information,###CAN'T PARSE AST/SAMPLIGH THRESHOLD###,"public String getPathInfo() {
  String path = getHttpServletRequest().getPathInfo();
  if (path == null) return null;
  String clean = """";
  try {
  clean = ESAPI.validator().getValidInput(""HTTP path: "" + path, path, ""HTTPPath"", 150, true);
  } catch (ValidationException e) {
  // already logged
  }
  return clean;
  }","/**
  * Returns the path info from the HttpServletRequest after canonicalizing
  * and filtering out any dangerous characters.
  * @return Returns any extra path information, appropriately scrubbed,
  *  associated with the URL the client sent when it made this request.
  */",,,,Missing Critical Information,Missing Critical Information,0,Missing Critical Information,Improves upon Semantic Meaning ,0,Missing Critical Information,Missing Critical Information,0
34,"public void createCache(String configurationFile) { CacheFactory factory = new DefaultCacheFactory(); cache = factory.createCache(configurationFile, false); config = cache.getConfiguration(); cache.create(); cache.start(); }",factory method that creates the cache model delegate instance for this demo,create the cache,create a new cache file,###CAN'T PARSE AST/SAMPLIGH THRESHOLD###,"public void createCache(String configurationFile) {
  CacheFactory factory = new DefaultCacheFactory();
  
  cache = factory.createCache(configurationFile, false);
   
  config = cache.getConfiguration();
  
  //config.setClusterName(""Catalogo"");
  
  // Have to create and start cache before using it
  cache.create();
  cache.start();
  }","/**
   * Factory method that creates the cache model delegate instance for this
   * demo
   * 
   * @return instance of CacheModelDelegate
   * @throws Exception
   */",,,,Missing Non-Critical Information,Missing Non-Critical Information,0,Missing Critical Information,Missing Non-Critical Information,0,Missing Critical Information,Missing Non-Critical Information,0
35,public boolean isWindowDef() { return windowDef; },learns if the window was set,returns the windowdef,returns true if the window is },returns whether this is a window window,"public boolean isWindowDef() {
  return windowDef;
  }","/**
  * Learns if the window was set
  */",,,,Partial Incorrect Information,Missing Non-Critical Information,Repetition,Consistent but Missing Specific Info,Missing Syntax Information,Repetition,Consistent but Missing Specific Info,Missing Syntax Information,Repetition
36,"public V remove(Object key) { V retval=get(key); if(send_message == true) { try { MethodCall call=new MethodCall(REMOVE, new Object[]{key}); disp.callRemoteMethods(null, call, update_mode, timeout); } catch(Exception e) { throw new RuntimeException(""remove("" + key + "") failed"", e); } } else { return _remove(key); } return retval; }",removes the key (and its corresponding value) from this map this method does nothing if the key is not in the map,removes the mapping for this key from this map if present,removes the mapping for the specified key from this bean,###CAN'T PARSE AST/SAMPLIGH THRESHOLD###,"public V remove(Object key) {
  V retval=get(key);
 

  if(send_message == true) {
  try {
  MethodCall call=new MethodCall(REMOVE, new Object[]{key});
  disp.callRemoteMethods(null, call, update_mode, timeout);
  }
  catch(Exception e) {
  throw new RuntimeException(""remove("" + key + "") failed"", e);
  }
  }
  else {
  return _remove(key);
  }
  return retval;
  }","/**
  * Removes the key (and its corresponding value) from this map.
  * This method does nothing if the key is not in the map.
  * @param key the key that needs to be removed
  * @return the previous value associated with <tt>key</tt>, or
  *  <tt>null</tt> if there was no mapping for <tt>key</tt>
  * @throws NullPointerException if the specified key is null
  */",,,,Consistent but Missing Specific Info,Missing Non-Critical Information,0,Consistent but Missing Specific Info,Missing Non-Critical Information,0,Consistent but Missing Specific Info,Missing Non-Critical Information,0
37,public String getDescString() { return PGridMessage.DESC_INIT_RESP_STRING; },returns the representation string for a descriptor of a message,retrieve the desc,returns the description of the description,returns the description of the message,"public String getDescString() {
  return PGridMessage.DESC_INIT_RESP_STRING;
  }","/**
   * Returns the representation string for a descriptor of a message.
   *
   * @return the message descriptor string.
   */",,,,Missing Non-Critical Information,Repetition,Consistent but Missing Specific Info,Partial Incorrect Information,Repetition,Missing Data Structures,Missing Non-Critical Information,Repetition,Missing Data Structures
